Kreditgruppe	Glaeubiger	Darlehensnummer und Geschaeftszeichen	Laufzeit	Art	TA	Verwendung	"urspruengl. Schuld"	"Urspruengl. Schuld aufgeteilt"	"Stand am Jahresanfang"	"Jahresanfang aufgeteilt"	"Jahresanfang aufgeteilt"	"Zinsen und Nebenkosten"	"Zinsen u. NK aufgeteilt"	"Zinsen u. NK aufgeteilt"	Tilgung	"Tilgung aufgeteilt"	"Tilgung aufgeteilt"	Zuzaehlung	"Zuzaehlung aufgeteilt"	"Zuzaehlung aufgeteilt"	"Stand am Jahresende"	"Jahresende aufgeteilt"	"Jahresende aufgeteilt"	Ersaetze	"Ersaetze aufgeteilt"	"Ersaetze aufgeteilt"	TA
Schuldenaufnahme Bund	Bund	Bund    RAM Darlehen    (902-06/05/07)	Laufzeit von 1942 bis 2023	4	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes	91.749,45	91.749,45	11.503,79	11.503,79	11.500,00	110,74	110,74	100	1.724,24	1.724,24	1.800,00	0			9.779,55	9.779,55	9.700,00	0			4890
Schuldenaufnahme Bund	Bund	Bund     Darl.0 7/4  (902-06/05/05)	Laufzeit von 1942 bis 2042	4	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes	14.171,20	14.171,20	3.684,39	3.684,39	3.700,00	0			141,72	141,72	100	0			3.542,67	3.542,67	3.600,00	0			4890
	Bund Ergebnis						105.920,65	105.920,65	15.188,18	15.188,18	15.200,00	110,74	110,74	100	1865,96	1.865,96	1.900,00	0	0	0	13.322,22	13.322,22	13.300,00	0	0	0	
Schuldenaufnahme Land	Land Ooe	Land    BA-17  BauW-III-410050/148-1995/KA/SH  (902-06/18/61)	Laufzeit von 2000 bis 2023	4	9140	Beteiligungen	222.624,75	222.624,75	222.624,75	222.624,75	222.600,00	0						0			222.624,75	222.624,75	222.600,00	0			9140
Schuldenaufnahme Land	Land Ooe	Land    BA-18  BauW-III-410050/209-1998/KA/SH  (902-06/18/60)	Laufzeit von 1999 bis 2024	4	9140	Beteiligungen	348.502,86	348.502,86	348.502,86	348.502,86	348.500,00	0						0			348.502,86	348.502,86	348.500,00	0			9140
Schuldenaufnahme Land	Land Ooe	Land    BA-19  BauW-III-410050/274-2001/KA/SH  (902-06/18/62)	Laufzeit von 2001 bis 2023	4	9140	Beteiligungen	105.375,61	105.375,61	102.535,00	102.535,00	102.500,00	0						0			102.535,00	102.535,00	102.500,00	0			9140
Schuldenaufnahme Land	Land Ooe	Land    BA-25  Gem-324010/GR-28.10.2004  (902-06/18/63)	Laufzeit von 2008 bis 2028	4	9140	Beteiligungen	21.102,00	21.102,00	21.102,00	21.102,00	21.100,00	0						0			21.102,00	21.102,00	21.100,00	0			9140
	Land Ooe Ergebnis						697.605,22	697.605,22	694.764,61	694.764,61	694.700,00	0	0	0	0	0	0	0	0	0	694.764,61	694.764,61	694.700,00	0	0	0	
Finanzunternehmen	Allgemeine Sparkasse Bank AG	ASPK 00062-200953     (902-06/03/36)	Laufzeit von 1997 bis 2017	1	6510	Sonstige Schienenwege	1.344.447,43	835.737,59	102.595,85	63.775,80	63.800,00	76,93	47,82		102.595,85	63.775,80	63.800,00	0			0		0				6510
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8150	oeffentliche Anlagen		508.709,84		38.820,05	38.800,00		29,11			38.820,05	38.800,00						0				8150
